seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,area,year,period,periodName,value
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M11,November,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M10,October,12.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M09,September,12.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M08,August,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M07,July,12.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M06,June,12.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M05,May,12.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M04,April,12.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M03,March,11.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M02,February,11.0
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2015,M01,January,10.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M13,Annual,11.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M12,December,12.0
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M11,November,12.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M10,October,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M09,September,12.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M08,August,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M07,July,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2014,M06,June,12.6
